"diagnosis_code","diagnosis_description"
"647.6","Other viral diseases in the mother, unspecified as to episode of care or not applicable"
"674.14","Disruption of cesarean wound, postpartum condition or complication"
"656.51","Poor fetal growth, affecting management of mother, delivered, with or without mention of antepartum condition"
"654.5","Cervical incompetence, unspecified as to episode of care or not applicable"
"654.51","Cervical incompetence, delivered, with or without mention of antepartum condition"
"659.5","Elderly primigravida, unspecified as to episode of care or not applicable"
"656.1","Rhesus isoimmunization, unspecified as to episode of care or not applicable"
"655.7","Decreased fetal movements, affecting management of mother, unspecified as to episode of care"
"646.33","Recurrent pregnancy loss, antepartum condition or complication"
"648.73","Bone and joint disorders of back, pelvis, and lower limbs of mother, antepartum condition or complication"
"670.14","Puerperal endometritis, postpartum condition or complication"
"645.1","Post term pregnancy, unspecified as to episode of care or not applicable"
"658.11","Premature rupture of membranes, delivered, with or without mention of antepartum condition"
"656.11","Rhesus isoimmunization, delivered, with or without mention of antepartum condition"
"649.73","Cervical shortening, antepartum condition or complication"
"658.23","Delayed delivery after spontaneous or unspecified rupture of membranes, antepartum condition or complication"
"666.1","Other immediate postpartum hemorrhage, unspecified as to episode of care or not applicable"
"647.81","Other specified infectious and parasitic diseases of mother, delivered, with or without mention of antepartum condition"
"658.81","Other problems associated with amniotic cavity and membranes, delivered, with or without mention of antepartum condition"
"640","Threatened abortion, unspecified as to episode of care or not applicable"
"660.91","Unspecified obstructed labor, delivered, with or without mention of antepartum condition"
"647.33","Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
"647.31","Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition"
"671.84","Other venous complications of pregnancy and the puerperium, postpartum condition or complication"
"796.5","Abnormal finding on antenatal screening"
"655.03","Central nervous system malformation in fetus, antepartum condition or complication"
"648.33","Drug dependence of mother, antepartum condition or complication"
"671.83","Other venous complications of pregnancy and the puerperium, antepartum condition or complication"
"655.53","Suspected damage to fetus from drugs, affecting management of mother, antepartum condition or complication"
"642.52","Severe pre-eclampsia, delivered, with mention of postpartum complication"
"668.81","Other complications of anesthesia or other sedation in labor and delivery, delivered, with or without mention of antepartum condition"
"648.24","Anemia of mother, postpartum condition or complication"
"659.9","Unspecified indication for care or intervention related to labor and delivery, unspecified as to episode of care or not applicable"
"659.11","Failed medical or unspecified induction of labor, delivered, with or without mention of antepartum condition"
"648.44","Mental disorders of mother, postpartum condition or complication"
"652.2","Breech presentation without mention of version, unspecified as to episode of care or not applicable"
"654.13","Tumors of body of uterus, antepartum condition or complication"
"648.82","Abnormal glucose tolerance of mother, delivered, with mention of postpartum complication"
"637.9","Unspecified abortion, without mention of complication, unspecified"
"656.6","Excessive fetal growth, affecting management of mother, unspecified as to episode of care or not applicable"
"647.01","Syphilis of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition"
"660.01","Obstruction caused by malposition of fetus at onset of labor, delivered, with or without mention of antepartum condition"
"649.6","Uterine size date discrepancy, unspecified as to episode of care or not applicable"
"631.8","Other abnormal products of conception"
"631","Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy"
"649.12","Obesity complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication"
"649.31","Coagulation defects complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition"
"649.33","Coagulation defects complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
"671.8","Other venous complications of pregnancy and the puerperium, unspecified as to episode of care or not applicable"
"658.2","Delayed delivery after spontaneous or unspecified rupture of membranes, unspecified as to episode of care or not applicable"
"648.31","Drug dependence of mother, delivered, with or without mention of antepartum condition"
"676.84","Other disorders of lactation, postpartum condition or complication"
"652.61","Multiple gestation with malpresentation of one fetus or more, delivered, with or without mention of antepartum condition"
"648.42","Mental disorders of mother, delivered, with mention of postpartum complication"
"642.44","Mild or unspecified pre-eclampsia, postpartum condition or complication"
"652.41","Face or brow presentation, delivered, with or without mention of antepartum condition"
"633.9","Unspecified ectopic pregnancy without intrauterine pregnancy"
"654.1","Tumors of body of uterus, unspecified as to episode of care or not applicable"
"633.1","Tubal pregnancy without intrauterine pregnancy"
"648.2","Anemia of mother, unspecified as to episode of care or not applicable"
"655.51","Suspected damage to fetus from drugs, affecting management of mother, delivered, with or without mention of antepartum condition"
"646.03","Papyraceous fetus, antepartum condition or complication"
"655.71","Decreased fetal movements, affecting management of mother, delivered, with or without mention of antepartum condition"
"648.84","Abnormal glucose tolerance of mother, postpartum condition or complication"
"674.54","Peripartum cardiomyopathy, postpartum condition or complication"
"674.5","Peripartum cardiomyopathy, unspecified as to episode of care or not applicable"
"673.2","Obstetrical blood-clot embolism, unspecified as to episode of care or not applicable"
"671.3","Deep phlebothrombosis, antepartum, unspecified as to episode of care or not applicable"
"648.61","Other cardiovascular diseases of mother, delivered, with or without mention of antepartum condition"
"648.64","Other cardiovascular diseases of mother, postpartum condition or complication"
"674.84","Other complications of puerperium, postpartum condition or complication"
"659.33","Generalized infection during labor, antepartum condition or complication"
"675.11","Abscess of breast associated with childbirth, delivered, with or without mention of antepartum condition"
"663.81","Other umbilical cord complications complicating labor and delivery, delivered, with or without mention of antepartum condition"
"642.5","Severe pre-eclampsia, unspecified as to episode of care or not applicable"
"656.33","Fetal distress, affecting management of mother, antepartum condition or complication"
"676.4","Failure of lactation, unspecified as to episode of care or not applicable"
"646.11","Edema or excessive weight gain in pregnancy, without mention of hypertension, delivered, with or without mention of antepartum complication"
"671.03","Varicose veins of legs complicating pregnancy and the puerperium, antepartum condition or complication"
"646.1","Edema or excessive weight gain in pregnancy, without mention of hypertension, unspecified as to episode of care or not applicable"
"671.01","Varicose veins of legs complicating pregnancy and the puerperium, delivered, with or without mention of antepartum condition"
"655.33","Suspected damage to fetus from viral disease in the mother, affecting management of mother, antepartum condition or complication"
"656.2","Isoimmunization from other and unspecified blood-group incompatibility, unspecified as to episode of care or not applicable"
"646.62","Infections of genitourinary tract in pregnancy, delivered, with mention of postpartum complication"
"652.33","Transverse or oblique presentation, antepartum condition or complication"
"646.23","Unspecified renal disease in pregnancy, without mention of hypertension, antepartum condition or complication"
"646.82","Other specified complications of pregnancy, delivered, with mention of postpartum complication"
"647.93","Unspecified infection or infestation of mother, antepartum condition or complication"
"669.51","Forceps or vacuum extractor delivery without mention of indication, delivered, with or without mention of antepartum condition"
"652.31","Transverse or oblique presentation, delivered, with or without mention of antepartum condition"
"649.23","Bariatric surgery status complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
"665.51","Other injury to pelvic organs, delivered, with or without mention of antepartum condition"
"676.52","Suppressed lactation, delivered, with mention of postpartum complication"
"670.12","Puerperal endometritis, delivered, with mention of postpartum complication"
"652.23","Breech presentation without mention of version, antepartum condition or complication"
"656.23","Isoimmunization from other and unspecified blood-group incompatibility, antepartum condition or complication"
"656.21","Isoimmunization from other and unspecified blood-group incompatibility, delivered, with or without mention of antepartum condition"
"663.91","Unspecified umbilical cord complication complicating labor and delivery, delivered, with or without mention of antepartum condition"
"649.21","Bariatric surgery status complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition"
"654.6","Other congenital or acquired abnormality of cervix, unspecified as to episode of care or not applicable"
